rowpair-ledger-v1
G	000	O	19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22
T	001	C	20	19	1	11	14	17	2
T	001	C	20	20	0	7	7	26	8
T	001	C	20	20	0	8	8	24	32
T	001	C	20	20	0	9	9	22	12
T	001	C	20	20	0	10	10	20	18
T	001	C	20	20	0	11	11	18	14
T	001	C	20	20	0	12	12	16	8
T	001	C	20	20	0	13	13	14	6
T	001	C	20	20	1	7	9	26	6
T	001	C	20	20	1	8	10	24	44
T	001	C	20	20	1	9	11	22	18
T	001	C	20	20	1	11	13	18	4
T	001	C	20	20	1	12	14	16	12
T	001	C	20	21	0	8	7	25	5
T	001	C	20	21	0	9	8	23	33
T	001	C	20	21	0	10	9	21	43
T	001	C	20	21	0	11	10	19	39
T	001	C	20	21	0	12	11	17	5
T	001	C	20	21	0	13	12	15	19
T	001	C	20	21	1	7	8	27	13
T	001	C	20	21	1	8	9	25	41
T	001	C	20	21	1	9	10	23	24
T	001	C	20	21	1	10	11	21	29
T	001	C	20	21	1	11	12	19	4
T	001	C	20	21	1	12	13	17	25
T	001	C	20	22	0	9	7	24	2
T	001	C	20	22	0	10	8	22	11
T	001	C	20	22	0	11	9	20	9
T	001	C	20	22	0	12	10	18	8
T	001	C	20	22	0	13	11	16	6
T	001	C	20	22	1	8	8	26	16
T	001	C	20	22	1	9	9	24	12
T	001	C	20	22	1	10	10	22	8
T	001	C	20	22	1	11	11	20	4
T	001	C	20	22	1	12	12	18	8
T	001	C	21	19	0	8	8	24	2
T	001	C	21	19	0	9	9	22	6
T	001	C	21	19	0	10	10	20	7
T	001	C	21	19	0	12	12	16	5
T	001	C	21	19	1	8	10	24	11
T	001	C	21	19	1	9	11	22	5
T	001	C	21	19	1	11	13	18	2
T	001	C	21	19	1	12	14	16	2
T	001	C	21	20	0	8	7	25	5
T	001	C	21	20	0	9	8	23	33
T	001	C	21	20	0	10	9	21	43
T	001	C	21	20	0	11	10	19	39
T	001	C	21	20	0	12	11	17	5
T	001	C	21	20	0	13	12	15	19
T	001	C	21	20	1	7	8	27	13
T	001	C	21	20	1	8	9	25	41
T	001	C	21	20	1	9	10	23	24
T	001	C	21	20	1	10	11	21	29
T	001	C	21	20	1	11	12	19	4
T	001	C	21	20	1	12	13	17	25
T	001	C	21	21	0	8	6	26	2
T	001	C	21	21	0	9	7	24	8
T	001	C	21	21	0	10	8	22	64
T	001	C	21	21	0	11	9	20	46
T	001	C	21	21	0	12	10	18	16
T	001	C	21	21	0	13	11	16	20
T	001	C	21	21	0	14	12	14	18
T	001	C	21	21	1	7	7	28	16
T	001	C	21	21	1	8	8	26	68
T	001	C	21	21	1	9	9	24	46
T	001	C	21	21	1	10	10	22	12
T	001	C	21	21	1	11	11	20	32
T	001	C	21	21	1	12	12	18	28
T	001	C	21	21	1	13	13	16	4
T	001	C	21	22	0	10	7	23	9
T	001	C	21	22	0	11	8	21	26
T	001	C	21	22	0	12	9	19	14
